(111b,1721) (1337,1721)
(5b,11e3) (a33,11e3)
(341,11cf) (641,11cf)
(2a41,8071) (a5d,8071)
(9dd,2bdb) (1e7d,2bdb)
(4fd,380f) (28b5,380f)
(2267,268d) (1d27,268d)
(166d,1cf1) (1181,1cf1)
(289,2ff) (181,2ff)
(99d,2293) (3a5,2293)
(fd,20f) (115,20f)
(65f,1e97) (29f,1e97)
(7bd,ba1) (925,ba1)
(19d5,2117) (295,2117)
(12b7,2ac7) (1c57,2ac7)
(d73,1aed) (15fb,1aed)
(b,1e1) (113,1e1)
(2125,301f) (29ad,301f)
(5cb,1943) (1783,1943)
(125b,2371) (7cf,2371)
(919,a43) (199,a43)
(317b,34c7) (1303,34c7)
(1b5b,2569) (22f3,2569)
(73,f85) (6db,f85)
(399b,5fbf) (5393,5fbf)
(3ef,4df) (a7,4df)
(93b,2d8f) (12e3,2d8f)
(6a1,77f) (599,77f)
(1dcb,2621) (23bf,2621)
(cb,fd) (cf,fd)
(3f8b,6ecb) (2583,6ecb)
(186d,47f3) (1765,47f3)
(2d47,6a61) (c77,6a61)
(33cd,3d69) (a5d,3d69)
(1afb,24ad) (1633,24ad)
(df,b71) (a7f,b71)
(123,76f) (14b,76f)
(ac9,9d37) (8b39,9d37)
(52f,7f1) (43f,7f1)
(3f5b,44b9) (b53,44b9)
(7c9,17bd) (409,17bd)
(1d3,1409) (fb,1409)
(429b,4b67) (28d3,4b67)
(8491,d1ef) (5d91,d1ef)
(30d,535) (79,535)
(a8d,1e7f) (a8d,1e7f)
(496f,6181) (202f,6181)
(c65,1321) (fed,1321)
(b4d,2d35) (fd9,2d35)
(5099,7055) (64a9,7055)
(815,a1b) (4fd,a1b)
(61f,a1b) (547,a1b)
(883,1e3b) (2e3,1e3b)
(fb3,2447) (2183,2447)
(28f1,4e23) (eb1,4e23)
(e177,ea55) (4f9b,ea55)
(703,1277) (bb,1277)
(c5,ca1) (73d,ca1)
(581,6a61) (4181,6a61)
(3af,485) (10f,485)
(6c71,7e8f) (989,7e8f)
(82f,20cf) (3c7,20cf)
(13cb,5c95) (2ee3,5c95)
(67,ab7) (16f,ab7)
(f8b,47e7) (2e03,47e7)
(87d,1d5f) (3e5,1d5f)
(3ad,174b) (695,174b)
(2293,547f) (13db,547f)
(3a1,1cc3) (d19,1cc3)
(345b,b975) (b213,b975)
(bcb,1cfd) (11e3,1cfd)
(6d,54bb) (258d,54bb)
(83,23cf) (deb,23cf)
(541,5dd) (505,5dd)
(1c0f,267d) (1cf3,267d)
(d9b,245b) (1df3,245b)
(a43,2ef1) (237b,2ef1)
(20a1,2e7b) (2131,2e7b)
(8015,b177) (100d,b177)
(5dc7,8071) (e3b,8071)
(2c5,521) (24d,521)
(311,941) (7a9,941)
(194d,36c1) (2709,36c1)
(a7,f7) (77,f7)
(1,1985) (1,1985)
(c5b,15ad) (223,15ad)
(1567,7eb5) (1c1b,7eb5)
(1eb,553) (453,553)
(ad65,daa5) (3f1,daa5)
(1573,21b9) (18bb,21b9)
(fbf,58cd) (1b8f,58cd)
(11,b69) (a31,b69)
(1393,61bb) (673,61bb)
(4d15,553f) (310d,553f)
(4e85,8b1b) (5c75,8b1b)
(2a5,40d) (ad,40d)
(d87,2039) (19b7,2039)
(127d,64fd) (3a31,64fd)
(2f,e99) (17f,e99)
(394d,3f2b) (7cd,3f2b)
(760d,b075) (2cc9,b075)
(3a1,4d9) (461,4d9)
(b7d,c37) (995,c37)
(159d,3691) (1b55,3691)
(119b,1fdf) (1633,1fdf)
(2867,3df1) (3077,3df1)
(701,e9f) (851,e9f)
(295d,2d77) (1955,2d77)
(246f,3e47) (34ff,3e47)
(4f21,7291) (276d,7291)
(96d3,9923) (96d3,9923)
